year,sex,percentage
2000,Male,51.369
2000,Female,48.631
2001,Male,51.426
2001,Female,48.574
2002,Male,51.495
2002,Female,48.505
2003,Male,51.561
2003,Female,48.439
2004,Male,51.624
2004,Female,48.376
2005,Male,51.685
2005,Female,48.315
2006,Male,51.744
2006,Female,48.256
2007,Male,51.8
2007,Female,48.2
2008,Male,51.853
2008,Female,48.147
2009,Male,51.903
2009,Female,48.097
2010,Male,51.959
2010,Female,48.041
2011,Male,52.033
2011,Female,47.967
2012,Male,52.118
2012,Female,47.882
2013,Male,52.2
2013,Female,47.8
2014,Male,52.279
2014,Female,47.721
2015,Male,52.35
2015,Female,47.65
2016,Male,52.42
2016,Female,47.58
2017,Male,52.484
2017,Female,47.516
2018,Male,52.538
2018,Female,47.462
2019,Male,52.589
2019,Female,47.411
2020,Male,52.588
2020,Female,47.412
2021,Male,52.53
2021,Female,47.47
2022,Male,52.469
2022,Female,47.531
2023,Male,52.411
2023,Female,47.589
2024,Male,52.359
2024,Female,47.641
